               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11369,              0.0287,            0.030403,          0.00065611,             0.08642,          0.00038372,          5.2826e-05,             0.10434,            0.025408,            0.030639,              0.0019,              0.0019,              0.0829
                   1,            0.087505,            0.026512,            0.026411,           0.0056251,             0.65432,            0.013691,           0.0037364,            0.087771,            0.017824,            0.037692,           0.0038357,           0.0038357,            0.064836
                   2,            0.072954,            0.022124,            0.024283,           0.0071023,             0.80247,            0.073235,            0.019568,            0.073403,            0.015194,            0.035588,           0.0057053,           0.0057053,            0.046705
                   3,            0.067296,            0.021329,            0.024819,            0.010146,             0.98765,              0.4053,             0.14408,            0.055403,            0.015487,            0.035451,           0.0075089,           0.0075089,            0.028509
                   4,            0.069526,            0.019179,            0.024506,             0.04776,             0.80247,             0.20239,             0.05273,            0.071835,            0.012641,            0.036026,           0.0092466,           0.0092466,            0.010247
                   5,            0.065521,            0.018517,            0.023912,              0.2435,             0.53086,             0.32832,              0.1263,            0.060757,            0.014286,             0.03965,            0.009175,            0.009175,            0.009175
                   6,            0.051276,            0.018665,            0.023983,             0.62689,             0.41491,             0.63425,              0.2563,            0.048688,             0.01212,            0.040274,            0.009175,            0.009175,            0.009175
                   7,            0.047842,            0.017056,            0.023724,             0.81157,             0.50617,              0.6836,             0.29524,            0.047114,            0.010494,            0.039724,             0.00901,             0.00901,             0.00901
                   8,             0.05045,            0.015218,            0.023402,             0.86544,             0.65432,             0.79728,             0.34998,            0.042267,           0.0093281,            0.038857,            0.008845,            0.008845,            0.008845
                   9,            0.051311,            0.013295,             0.02256,             0.57661,             0.57169,             0.54334,             0.30069,            0.041661,           0.0095145,             0.03849,             0.00868,             0.00868,             0.00868
                  10,            0.040927,            0.013017,            0.023651,             0.82714,             0.80247,             0.85896,              0.4997,            0.033775,           0.0078334,            0.039355,            0.008515,            0.008515,            0.008515
                  11,            0.037957,            0.012448,             0.02265,             0.80801,             0.80247,             0.81066,             0.48298,            0.034609,           0.0075164,            0.039761,             0.00835,             0.00835,             0.00835
                  12,            0.040756,            0.011598,             0.02206,             0.86474,             0.82716,             0.90043,             0.47456,            0.034667,           0.0073431,            0.034052,            0.008185,            0.008185,            0.008185
                  13,            0.039141,            0.011193,            0.021157,             0.79361,             0.82716,             0.86319,             0.44715,            0.033373,           0.0069104,            0.036316,             0.00802,             0.00802,             0.00802
                  14,            0.035794,            0.010395,            0.021592,             0.84866,             0.74074,             0.88588,              0.5696,            0.033478,           0.0069394,             0.03096,            0.007855,            0.007855,            0.007855
                  15,            0.035945,           0.0096518,            0.021717,              0.8596,             0.90708,             0.92705,              0.6027,            0.027235,           0.0068815,            0.029176,             0.00769,             0.00769,             0.00769
                  16,            0.032947,            0.010176,            0.021076,             0.84236,             0.85762,             0.90885,             0.52137,            0.031767,            0.006757,             0.03644,            0.007525,            0.007525,            0.007525
                  17,             0.03591,            0.010039,            0.019048,             0.88364,             0.81481,             0.89819,              0.5805,            0.033054,           0.0067322,            0.048406,             0.00736,             0.00736,             0.00736
                  18,            0.034455,            0.010714,            0.017836,             0.79556,             0.85185,             0.91358,             0.57196,            0.031056,           0.0074078,            0.023034,            0.007195,            0.007195,            0.007195
                  19,            0.031822,            0.010174,            0.014451,              0.8656,             0.83951,             0.91478,             0.60437,            0.029485,           0.0064863,            0.051239,             0.00703,             0.00703,             0.00703
                  20,            0.032882,           0.0086178,            0.012598,             0.90188,             0.56739,             0.74971,             0.47691,            0.038991,            0.010855,            0.067926,            0.006865,            0.006865,            0.006865
                  21,            0.032209,           0.0099276,            0.015193,             0.88893,             0.83951,             0.87714,             0.52357,            0.029344,           0.0064706,            0.061474,              0.0067,              0.0067,              0.0067
                  22,            0.031867,           0.0092024,            0.013714,             0.87222,             0.75309,             0.88639,             0.55775,            0.029434,           0.0066868,            0.017159,            0.006535,            0.006535,            0.006535
                  23,             0.02889,           0.0091557,            0.011167,             0.86953,             0.83951,             0.90375,             0.51405,            0.030641,           0.0065413,            0.016557,             0.00637,             0.00637,             0.00637
                  24,             0.03147,            0.008691,            0.010803,             0.94557,             0.64346,             0.79645,             0.53186,            0.032692,            0.010979,            0.010613,            0.006205,            0.006205,            0.006205
                  25,            0.029201,           0.0090268,            0.011602,             0.90196,             0.74074,             0.83959,               0.529,            0.029934,           0.0082995,              0.0203,             0.00604,             0.00604,             0.00604
                  26,            0.029338,           0.0087811,           0.0093881,             0.78826,             0.76543,             0.79433,             0.53663,              0.0302,           0.0078324,            0.033556,            0.005875,            0.005875,            0.005875
                  27,            0.028389,           0.0081478,            0.010873,             0.81306,             0.91282,             0.89924,             0.58633,            0.026742,           0.0062897,             0.01379,             0.00571,             0.00571,             0.00571
                  28,            0.027898,           0.0084036,           0.0084749,             0.88348,             0.84251,             0.91412,             0.59929,            0.026804,           0.0064845,            0.023862,            0.005545,            0.005545,            0.005545
                  29,            0.028719,            0.008579,           0.0074544,             0.90055,             0.85185,              0.9159,             0.62623,            0.026636,           0.0065969,            0.014589,             0.00538,             0.00538,             0.00538
                  30,            0.026685,           0.0083803,            0.006436,             0.90684,             0.72112,              0.8419,              0.5183,            0.030832,            0.007288,            0.065427,            0.005215,            0.005215,            0.005215
                  31,            0.030406,           0.0087089,           0.0071082,             0.83299,             0.66667,             0.81533,              0.4993,            0.029288,            0.007135,            0.070504,             0.00505,             0.00505,             0.00505
                  32,            0.027034,           0.0085266,           0.0072427,             0.79673,             0.82265,             0.84614,             0.56859,            0.026814,           0.0068558,            0.037248,            0.004885,            0.004885,            0.004885
                  33,            0.025046,           0.0083262,           0.0054015,             0.80607,             0.76977,             0.85976,             0.55087,            0.026617,           0.0066846,            0.051347,             0.00472,             0.00472,             0.00472
                  34,            0.025366,            0.007964,           0.0064634,             0.84268,             0.72746,             0.86705,             0.57234,            0.024954,            0.007089,            0.043113,            0.004555,            0.004555,            0.004555
                  35,            0.024615,           0.0073644,           0.0049745,             0.87268,             0.59234,             0.81139,              0.5222,            0.026705,           0.0075981,            0.084143,             0.00439,             0.00439,             0.00439
                  36,            0.026359,           0.0081733,            0.006032,             0.86506,             0.71235,             0.82934,             0.51098,             0.02738,           0.0070975,            0.049522,            0.004225,            0.004225,            0.004225
                  37,            0.024826,           0.0076979,           0.0049243,             0.80421,             0.70996,              0.8023,             0.56321,            0.026274,           0.0066746,            0.066728,             0.00406,             0.00406,             0.00406
                  38,            0.023475,           0.0077013,           0.0065101,             0.83429,             0.87654,             0.89567,             0.57143,            0.028721,           0.0061229,           0.0030807,            0.003895,            0.003895,            0.003895
                  39,            0.024186,           0.0071195,           0.0059338,             0.86075,             0.68689,             0.85037,             0.57793,             0.02531,           0.0059406,            0.033512,             0.00373,             0.00373,             0.00373
                  40,            0.024243,           0.0080093,           0.0055248,             0.75653,             0.72888,             0.82821,             0.55126,            0.025358,           0.0067081,            0.047714,            0.003565,            0.003565,            0.003565
                  41,             0.02203,           0.0072459,           0.0046684,             0.80541,             0.81762,             0.87497,             0.61503,            0.023124,           0.0063378,            0.030771,              0.0034,              0.0034,              0.0034
                  42,            0.023007,           0.0075252,           0.0055736,             0.88944,             0.82716,              0.8918,             0.60518,            0.025037,           0.0067499,            0.014101,            0.003235,            0.003235,            0.003235
                  43,            0.022121,           0.0074571,           0.0040867,             0.94644,              0.8726,             0.92326,             0.65044,            0.023025,           0.0061398,             0.02257,             0.00307,             0.00307,             0.00307
                  44,            0.022286,           0.0071354,           0.0043806,               0.913,             0.77734,             0.90424,             0.63368,            0.023386,           0.0061894,            0.024295,            0.002905,            0.002905,            0.002905
                  45,            0.021522,            0.007621,           0.0032455,             0.88695,             0.77778,             0.87357,              0.6422,            0.024341,           0.0064966,            0.025299,             0.00274,             0.00274,             0.00274
                  46,            0.021772,           0.0074959,           0.0030346,             0.84401,             0.67634,             0.85047,             0.61062,            0.023749,           0.0069037,            0.068492,            0.002575,            0.002575,            0.002575
                  47,            0.020773,           0.0073251,           0.0032283,             0.90933,             0.79012,             0.90375,             0.63931,             0.02369,           0.0069272,            0.037619,             0.00241,             0.00241,             0.00241
                  48,            0.020779,           0.0074771,           0.0040636,             0.90514,             0.65432,              0.8952,             0.63674,            0.022654,           0.0062453,            0.073096,            0.002245,            0.002245,            0.002245
                  49,            0.020172,           0.0073171,           0.0031987,             0.84252,             0.66056,               0.853,             0.59766,            0.024306,           0.0070118,             0.05292,             0.00208,             0.00208,             0.00208
                  50,            0.019447,           0.0070911,           0.0024178,             0.86865,             0.77778,             0.87635,              0.6146,            0.024052,           0.0066496,             0.04104,            0.001915,            0.001915,            0.001915
                  51,            0.018831,           0.0064645,           0.0030155,              0.8827,             0.83951,             0.89393,             0.64833,            0.023314,           0.0061879,            0.019063,             0.00175,             0.00175,             0.00175
                  52,            0.019036,             0.00674,           0.0021921,             0.88766,              0.7804,              0.8897,             0.63725,            0.023712,           0.0065246,            0.029856,            0.001585,            0.001585,            0.001585
                  53,            0.019534,           0.0064022,           0.0028982,             0.88666,              0.6761,             0.86866,             0.62557,            0.022985,           0.0063995,            0.059952,             0.00142,             0.00142,             0.00142
                  54,            0.018091,           0.0072728,           0.0017965,             0.87001,             0.64198,             0.85715,             0.62241,            0.023515,           0.0064845,            0.067047,            0.001255,            0.001255,            0.001255
                  55,            0.019171,           0.0069018,           0.0020258,              0.8871,             0.61728,             0.84272,             0.60164,            0.024146,           0.0065401,            0.067776,             0.00109,             0.00109,             0.00109
                  56,            0.018688,           0.0066987,           0.0020838,             0.91097,             0.62963,             0.84529,              0.6136,            0.023759,           0.0062858,            0.057111,            0.000925,            0.000925,            0.000925
                  57,            0.018035,           0.0063094,            0.001448,             0.88551,              0.7037,             0.85857,             0.62704,            0.023466,           0.0061138,            0.053617,             0.00076,             0.00076,             0.00076
                  58,            0.018368,           0.0064042,           0.0025146,             0.88769,             0.71605,             0.86501,             0.62876,            0.023153,           0.0061427,            0.053183,            0.000595,            0.000595,            0.000595
                  59,             0.01791,           0.0066905,           0.0013734,             0.89028,              0.7284,              0.8743,             0.63908,             0.02314,           0.0061295,            0.046143,             0.00043,             0.00043,             0.00043
